Student_ID,Name,Gender,Age,Department,Attendance_Percentage,Study_Hours,Sleep_Hours,Internet_Usage_Hours,Previous_Grades,Family_Income,Parent_Education,Final_Exam_Marks,Result
STU0001,Mark Lopez,Male,18,Information Technology,85.8,1.0,7.7,2.3,84.6,Medium,Associate's Degree,43.1,Fail
STU0002,Ashley Jackson,Female,18,Business Administration,80.2,4.0,7.4,1.7,82.6,Medium,Associate's Degree,49.9,Fail
STU0003,Jessica Taylor,Female,19,Electrical Engineering,64.4,4.0,8.9,1.8,68.8,Medium,High School,46.9,Fail
STU0004,Elizabeth Thomas,Female,22,Electrical Engineering,83.8,5.3,6.5,6.9,77.0,Medium,Associate's Degree,56.9,Pass
STU0005,David Davis,Male,19,Computer Science,97.7,9.3,7.1,2.3,100.0,Medium,Master's Degree,86.5,Pass
STU0006,Paul Lopez,Male,19,Electrical Engineering,65.9,1.0,5.8,4.5,83.8,High,Bachelor's Degree,32.5,Fail
STU0007,Mark Rodriguez,Male,18,Computer Science,72.3,4.1,5.5,1.2,67.4,Low,Master's Degree,44.9,Fail
STU0008,Betty Anderson,Female,19,Business Administration,86.3,1.0,7.4,5.6,87.8,High,Associate's Degree,53.4,Pass
STU0009,Karen Thomas,Female,18,Business Administration,82.4,3.9,6.1,4.0,95.1,Medium,Bachelor's Degree,55.4,Pass
STU0010,Susan Taylor,Female,22,Business Administration,86.1,3.1,6.9,3.9,82.2,High,Bachelor's Degree,51.9,Pass
STU0011,Richard Wilson,Male,21,Mechanical Engineering,75.0,1.7,8.9,4.1,82.6,Low,Master's Degree,43.4,Fail
STU0012,Margaret Miller,Female,18,Business Administration,93.6,7.0,8.9,4.3,97.6,Low,Bachelor's Degree,72.1,Pass
STU0013,Sarah Jackson,Female,22,Electrical Engineering,82.5,5.6,9.7,4.7,77.1,High,Associate's Degree,47.4,Fail
STU0014,Donald Davis,Male,21,Information Technology,89.0,6.8,9.0,2.6,100.0,High,Associate's Degree,80.8,Pass
STU0015,Paul Moore,Male,20,Computer Science,85.2,3.8,9.9,2.5,94.6,Medium,Associate's Degree,49.2,Fail
STU0016,Joshua Miller,Male,18,Mechanical Engineering,83.8,4.8,7.5,3.6,88.6,Medium,Bachelor's Degree,61.8,Pass
STU0017,Robert Moore,Male,18,Business Administration,88.3,8.5,5.9,4.5,88.1,High,PhD,86.3,Pass
STU0018,Karen Miller,Female,20,Business Administration,83.9,5.0,5.8,3.4,88.5,Low,High School,54.1,Pass
STU0019,Steven Wilson,Male,20,Information Technology,70.1,6.8,8.7,4.7,68.1,Medium,High School,58.3,Pass
STU0020,Robert Lopez,Male,18,Information Technology,92.9,3.6,7.1,4.4,100.0,High,High School,71.4,Pass
STU0021,Betty Johnson,Female,20,Mechanical Engineering,90.2,6.6,7.2,3.2,97.7,Medium,Bachelor's Degree,67.2,Pass
STU0022,Robert Jones,Male,19,Computer Science,60.9,3.8,6.3,1.0,93.3,Medium,Associate's Degree,57.2,Pass
